Slide Window:	Input Window:	Compressed Length:	Decompressed length:	Compression Factor:
32	32	997139	500000	0.5014346
64	32	893173	500000	0.55980194
64	64	974335	500000	0.51317054
128	32	829826	500000	0.60253596
128	64	898933	500000	0.556215
128	128	968005	500000	0.5165263
256	32	783692	500000	0.63800573
256	64	843917	500000	0.59247535
256	128	904118	500000	0.5530252
256	256	964253	500000	0.5185361
512	32	751564	500000	0.6652793
512	64	805175	500000	0.620983
512	128	858775	500000	0.58222467
512	256	912289	500000	0.5480719
512	512	965641	500000	0.5177908
1024	32	726363	500000	0.68836105
1024	64	774703	500000	0.64540863
1024	128	823010	500000	0.607526
1024	256	871269	500000	0.5738756
1024	512	919402	500000	0.54383177
1024	1024	967166	500000	0.51697433
2048	32	705661	500000	0.7085555
2048	64	749618	500000	0.6670064
2048	128	793557	500000	0.63007444
2048	256	837441	500000	0.597057
2048	512	881177	500000	0.56742287
2048	1024	924674	500000	0.54073113
2048	2048	967621	500000	0.51673126
4096	32	687921	500000	0.7268276
4096	64	728133	500000	0.6866877
4096	128	768308	500000	0.6507807
4096	256	808447	500000	0.6184697
4096	512	848468	500000	0.5892974
4096	1024	888234	500000	0.5629147
4096	2048	927512	500000	0.53907657
4096	4096	965662	500000	0.5177795
8192	32	672218	500000	0.7438063
8192	64	709089	500000	0.7051301
8192	128	745947	500000	0.6702889
8192	256	782755	500000	0.63876945
8192	512	819468	500000	0.61015195
8192	1024	855951	500000	0.5841456
8192	2048	891964	500000	0.56056076
8192	4096	926878	500000	0.53944534
8192	8192	959580	500000	0.5210613
16384	32	657848	500000	0.760054
16384	64	691601	500000	0.72296023
16384	128	725337	500000	0.68933475
16384	256	759025	500000	0.6587398
16384	512	792606	500000	0.63083047
16384	1024	826006	500000	0.6053225
16384	2048	858966	500000	0.5820952
16384	4096	890874	500000	0.5612466
16384	8192	920721	500000	0.5430527
16384	16384	946115	500000	0.52847695
32768	32	642391	500000	0.7783422
32768	64	672856	500000	0.74310106
32768	128	703299	500000	0.7109352
32768	256	733711	500000	0.68146724
32768	512	764015	500000	0.6544374
32768	1024	794157	500000	0.62959844
32768	2048	823857	500000	0.60690147
32768	4096	852634	500000	0.5864181
32768	8192	879558	500000	0.5684673
32768	16384	902261	500000	0.5541634
32768	32768	915959	500000	0.54587597
65536	32	624453	500000	0.8007008
65536	64	651052	500000	0.7679878
65536	128	677647	500000	0.73784727
65536	256	704188	500000	0.71003765
65536	512	730658	500000	0.68431467
65536	1024	756978	500000	0.66052115
65536	2048	782864	500000	0.6386805
65536	4096	807842	500000	0.6189329
65536	8192	831051	500000	0.6016478
65536	16384	850417	500000	0.58794683
65536	32768	861165	500000	0.58060884
65536	65536	854457	500000	0.58516693
131072	32	599404	500000	0.83416194
131072	64	620679	500000	0.8055694
131072	128	641952	500000	0.77887446
131072	256	663174	500000	0.75394994
131072	512	684303	500000	0.73067045
131072	1024	705266	500000	0.70895237
131072	2048	725871	500000	0.68882763
131072	4096	745646	500000	0.67055947
131072	8192	763727	500000	0.6546842
131072	16384	778134	500000	0.64256287
131072	32768	784404	500000	0.6374266
131072	65536	774298	500000	0.64574623
131072	131072	728824	500000	0.6860367
262144	32	560310	500000	0.89236313
262144	64	573260	500000	0.8722046
262144	128	586206	500000	0.85294247
262144	256	599118	500000	0.83456016
262144	512	611965	500000	0.8170402
262144	1024	624657	500000	0.8004393
262144	2048	636970	500000	0.78496635
262144	4096	648550	500000	0.77095056
262144	8192	658424	500000	0.7593891
262144	16384	664798	500000	0.75210816
262144	32768	663782	500000	0.75325936
262144	65536	647065	500000	0.7727199
262144	131072	596839	500000	0.83774686
