n	m = 5	m = 6	m = 7	m = 8	m = 9
-1023 	38 	23 	16 	13 	12 	
-1022 	38 	23 	16 	13 	12 	
-1021 	38 	23 	16 	13 	12 	
-1020 	38 	23 	16 	13 	12 	
-1019 	38 	23 	16 	13 	12 	
-1018 	38 	23 	16 	13 	12 	
-1017 	38 	23 	16 	13 	12 	
-1016 	38 	23 	16 	13 	12 	
-1015 	38 	23 	16 	13 	12 	
-1014 	38 	23 	16 	13 	12 	
-1013 	38 	23 	16 	13 	12 	
-1012 	38 	23 	16 	13 	12 	
-1011 	38 	23 	16 	13 	12 	
-1010 	38 	23 	16 	13 	12 	
-1009 	38 	23 	16 	13 	12 	
-1008 	38 	23 	16 	13 	12 	
-1007 	38 	23 	16 	13 	12 	
-1006 	38 	23 	16 	13 	12 	
-1005 	38 	23 	16 	13 	12 	
-1004 	38 	23 	16 	13 	12 	
-1003 	38 	23 	16 	13 	12 	
-1002 	38 	23 	16 	13 	12 	
-1001 	38 	23 	16 	13 	12 	
-1000 	38 	23 	16 	13 	12 	
-999 	38 	23 	16 	13 	12 	
-998 	38 	23 	16 	13 	12 	
-997 	38 	23 	16 	13 	12 	
-996 	38 	23 	16 	13 	12 	
-995 	38 	23 	16 	13 	12 	
-994 	38 	23 	16 	13 	12 	
-993 	38 	23 	16 	13 	12 	
-992 	38 	23 	16 	13 	12 	
-991 	37 	23 	16 	13 	12 	
-990 	37 	23 	16 	13 	12 	
-989 	37 	23 	16 	13 	12 	
-988 	37 	23 	16 	13 	12 	
-987 	37 	23 	16 	13 	12 	
-986 	37 	23 	16 	13 	12 	
-985 	37 	23 	16 	13 	12 	
-984 	37 	23 	16 	13 	12 	
-983 	37 	23 	16 	13 	12 	
-982 	37 	23 	16 	13 	12 	
-981 	37 	23 	16 	13 	12 	
-980 	37 	23 	16 	13 	12 	
-979 	37 	23 	16 	13 	12 	
-978 	37 	23 	16 	13 	12 	
-977 	37 	23 	16 	13 	12 	
-976 	37 	23 	16 	13 	12 	
-975 	37 	23 	16 	13 	12 	
-974 	37 	23 	16 	13 	12 	
-973 	37 	23 	16 	13 	12 	
-972 	37 	23 	16 	13 	12 	
-971 	37 	23 	16 	13 	12 	
-970 	37 	23 	16 	13 	12 	
-969 	37 	23 	16 	13 	12 	
-968 	37 	23 	16 	13 	12 	
-967 	37 	23 	16 	13 	12 	
-966 	37 	23 	16 	13 	12 	
-965 	37 	23 	16 	13 	12 	
-964 	37 	23 	16 	13 	12 	
-963 	37 	23 	16 	13 	12 	
-962 	37 	23 	16 	13 	12 	
-961 	37 	23 	16 	13 	12 	
-960 	37 	23 	16 	13 	12 	
-959 	36 	22 	16 	13 	12 	
-958 	36 	22 	16 	13 	12 	
-957 	36 	22 	16 	13 	12 	
-956 	36 	22 	16 	13 	12 	
-955 	36 	22 	16 	13 	12 	
-954 	36 	22 	16 	13 	12 	
-953 	36 	22 	16 	13 	12 	
-952 	36 	22 	16 	13 	12 	
-951 	36 	22 	16 	13 	12 	
-950 	36 	22 	16 	13 	12 	
-949 	36 	22 	16 	13 	12 	
-948 	36 	22 	16 	13 	12 	
-947 	36 	22 	16 	13 	12 	
-946 	36 	22 	16 	13 	12 	
-945 	36 	22 	16 	13 	12 	
-944 	36 	22 	16 	13 	12 	
-943 	36 	22 	16 	13 	12 	
-942 	36 	22 	16 	13 	12 	
-941 	36 	22 	16 	13 	12 	
-940 	36 	22 	16 	13 	12 	
-939 	36 	22 	16 	13 	12 	
-938 	36 	22 	16 	13 	12 	
-937 	36 	22 	16 	13 	12 	
-936 	36 	22 	16 	13 	12 	
-935 	36 	22 	16 	13 	12 	
-934 	36 	22 	16 	13 	12 	
-933 	36 	22 	16 	13 	12 	
-932 	36 	22 	16 	13 	12 	
-931 	36 	22 	16 	13 	12 	
-930 	36 	22 	16 	13 	12 	
-929 	36 	22 	16 	13 	12 	
-928 	36 	22 	16 	13 	12 	
-927 	35 	22 	16 	13 	12 	
-926 	35 	22 	16 	13 	12 	
-925 	35 	22 	16 	13 	12 	
-924 	35 	22 	16 	13 	12 	
-923 	35 	22 	16 	13 	12 	
-922 	35 	22 	16 	13 	12 	
-921 	35 	22 	16 	13 	12 	
-920 	35 	22 	16 	13 	12 	
-919 	35 	22 	16 	13 	12 	
-918 	35 	22 	16 	13 	12 	
-917 	35 	22 	16 	13 	12 	
-916 	35 	22 	16 	13 	12 	
-915 	35 	22 	16 	13 	12 	
-914 	35 	22 	16 	13 	12 	
-913 	35 	22 	16 	13 	12 	
-912 	35 	22 	16 	13 	12 	
-911 	35 	22 	16 	13 	12 	
-910 	35 	22 	16 	13 	12 	
-909 	35 	22 	16 	13 	12 	
-908 	35 	22 	16 	13 	12 	
-907 	35 	22 	16 	13 	12 	
-906 	35 	22 	16 	13 	12 	
-905 	35 	22 	16 	13 	12 	
-904 	35 	22 	16 	13 	12 	
-903 	35 	22 	16 	13 	12 	
-902 	35 	22 	16 	13 	12 	
-901 	35 	22 	16 	13 	12 	
-900 	35 	22 	16 	13 	12 	
-899 	35 	22 	16 	13 	12 	
-898 	35 	22 	16 	13 	12 	
-897 	35 	22 	16 	13 	12 	
-896 	35 	22 	16 	13 	12 	
-895 	34 	21 	15 	13 	12 	
-894 	34 	21 	15 	13 	12 	
-893 	34 	21 	15 	13 	12 	
-892 	34 	21 	15 	13 	12 	
-891 	34 	21 	15 	13 	12 	
-890 	34 	21 	15 	13 	12 	
-889 	34 	21 	15 	13 	12 	
-888 	34 	21 	15 	13 	12 	
-887 	34 	21 	15 	13 	12 	
-886 	34 	21 	15 	13 	12 	
-885 	34 	21 	15 	13 	12 	
-884 	34 	21 	15 	13 	12 	
-883 	34 	21 	15 	13 	12 	
-882 	34 	21 	15 	13 	12 	
-881 	34 	21 	15 	13 	12 	
-880 	34 	21 	15 	13 	12 	
-879 	34 	21 	15 	13 	12 	
-878 	34 	21 	15 	13 	12 	
-877 	34 	21 	15 	13 	12 	
-876 	34 	21 	15 	13 	12 	
-875 	34 	21 	15 	13 	12 	
-874 	34 	21 	15 	13 	12 	
-873 	34 	21 	15 	13 	12 	
-872 	34 	21 	15 	13 	12 	
-871 	34 	21 	15 	13 	12 	
-870 	34 	21 	15 	13 	12 	
-869 	34 	21 	15 	13 	12 	
-868 	34 	21 	15 	13 	12 	
-867 	34 	21 	15 	13 	12 	
-866 	34 	21 	15 	13 	12 	
-865 	34 	21 	15 	13 	12 	
-864 	34 	21 	15 	13 	12 	
-863 	33 	21 	15 	13 	12 	
-862 	33 	21 	15 	13 	12 	
-861 	33 	21 	15 	13 	12 	
-860 	33 	21 	15 	13 	12 	
-859 	33 	21 	15 	13 	12 	
-858 	33 	21 	15 	13 	12 	
-857 	33 	21 	15 	13 	12 	
-856 	33 	21 	15 	13 	12 	
-855 	33 	21 	15 	13 	12 	
-854 	33 	21 	15 	13 	12 	
-853 	33 	21 	15 	13 	12 	
-852 	33 	21 	15 	13 	12 	
-851 	33 	21 	15 	13 	12 	
-850 	33 	21 	15 	13 	12 	
-849 	33 	21 	15 	13 	12 	
-848 	33 	21 	15 	13 	12 	
-847 	33 	21 	15 	13 	12 	
-846 	33 	21 	15 	13 	12 	
-845 	33 	21 	15 	13 	12 	
-844 	33 	21 	15 	13 	12 	
-843 	33 	21 	15 	13 	12 	
-842 	33 	21 	15 	13 	12 	
-841 	33 	21 	15 	13 	12 	
-840 	33 	21 	15 	13 	12 	
-839 	33 	21 	15 	13 	12 	
-838 	33 	21 	15 	13 	12 	
-837 	33 	21 	15 	13 	12 	
-836 	33 	21 	15 	13 	12 	
-835 	33 	21 	15 	13 	12 	
-834 	33 	21 	15 	13 	12 	
-833 	33 	21 	15 	13 	12 	
-832 	33 	21 	15 	13 	12 	
-831 	32 	20 	15 	13 	12 	
-830 	32 	20 	15 	13 	12 	
-829 	32 	20 	15 	13 	12 	
-828 	32 	20 	15 	13 	12 	
-827 	32 	20 	15 	13 	12 	
-826 	32 	20 	15 	13 	12 	
-825 	32 	20 	15 	13 	12 	
-824 	32 	20 	15 	13 	12 	
-823 	32 	20 	15 	13 	12 	
-822 	32 	20 	15 	13 	12 	
-821 	32 	20 	15 	13 	12 	
-820 	32 	20 	15 	13 	12 	
-819 	32 	20 	15 	13 	12 	
-818 	32 	20 	15 	13 	12 	
-817 	32 	20 	15 	13 	12 	
-816 	32 	20 	15 	13 	12 	
-815 	32 	20 	15 	13 	12 	
-814 	32 	20 	15 	13 	12 	
-813 	32 	20 	15 	13 	12 	
-812 	32 	20 	15 	13 	12 	
-811 	32 	20 	15 	13 	12 	
-810 	32 	20 	15 	13 	12 	
-809 	32 	20 	15 	13 	12 	
-808 	32 	20 	15 	13 	12 	
-807 	32 	20 	15 	13 	12 	
-806 	32 	20 	15 	13 	12 	
-805 	32 	20 	15 	13 	12 	
